,SEASON,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,WEIGHT,WINGSPAN,STANDING_REACH,STANDING_REACH_FT_IN,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS
63,2002,2416,Kareem,Rush,Kareem Rush,SG-SF,76.75,199,81.75,103.5,8' 7.5'',26.0,30.0,11.86,3.22,15.0
64,2002,12063,Brooks,Sales,Brooks Sales,PF-C,81.0,232,82.0,108.0,9' 0'',26.0,29.5,11.05,3.29,13.0
65,2002,2422,John,Salmons,John Salmons,SF-SG,77.5,207,82.25,104.0,8' 8'',30.5,34.5,11.35,3.25,12.0
66,2002,2453,Predrag,Savovic,Predrag Savovic,SG,76.75,212,79.0,102.0,8' 6'',22.5,28.5,10.94,3.38,13.0
67,2002,201324,Julian,Sensley,Julian Sensley,PF-SF,79.0,228,83.5,105.5,8' 9.5'',27.5,31.5,11.85,3.32,8.0
69,2002,12065,Preston,Shumpert,Preston Shumpert,SF,78.0,197,80.5,103.5,8' 7.5'',28.5,29.0,11.03,3.24,9.0
70,2002,2447,Tamar,Slay,Tamar Slay,SF,78.75,203,83.5,104.0,8' 8'',32.5,38.0,10.94,3.09,11.0
71,2002,2443,Darius,Songaila,Darius Songaila,PF,80.0,240,85.0,108.5,9' 0.5'',24.5,29.5,11.69,3.52,8.0
72,2002,2405,Amar'e,Stoudemire,Amar'e Stoudemire,PF,80.5,233,85.75,108.5,9' 0.5'',32.0,35.5,11.19,3.25,12.0
73,2002,2445,Marcus,Taylor,Marcus Taylor,PG,73.0,181,76.5,98.5,8' 2.5'',27.5,33.5,11.25,3.31,4.0
74,2002,12297,Jobey,Thomas,Jobey Thomas,SG,74.75,183,77.75,99.5,8' 3.5'',26.0,32.0,11.46,3.3,13.0
75,2002,2402,Dajuan,Wagner,Dajuan Wagner,PG-SG,72.75,193,74.0,99.0,8' 3'',28.0,35.0,12.03,3.22,16.0
76,2002,2404,Chris,Wilcox,Chris Wilcox,PF-C,80.25,218,85.0,107.5,8' 11.5'',31.0,34.5,11.43,3.16,20.0
78,2002,2465,George,Williams,George Williams,PF-SF,77.75,214,84.5,103.0,8' 7'',33.5,39.0,11.21,3.24,11.0
79,2002,2398,Jay,Williams,Jay Williams,PG,72.25,197,75.5,97.0,8' 1'',28.5,36.0,10.34,3.09,10.0
80,2002,2417,Qyntel,Woods,Qyntel Woods,SF-SG,79.0,213,82.0,105.0,8' 9'',33.5,34.5,11.94,3.23,2.0
81,2002,2428,Vincent,Yarbrough,Vincent Yarbrough,SF,77.5,202,84.5,104.5,8' 8.5'',30.0,34.0,11.7,3.32,10.0
0,2003,200995,Aloysius,Anagonye,Aloysius Anagonye,PF,78.75,257,86.5,106.0,8' 10'',31.0,34.5,12.93,3.3,6.0
1,2003,12072,Rick,Anderson,Rick Anderson,SF-PF,80.25,216,83.0,106.5,8' 10.5'',26.0,30.5,11.23,3.4,6.0
2,2003,2546,Carmelo,Anthony,Carmelo Anthony,SF,78.25,233,84.0,105.5,8' 9.5'',30.5,33.5,11.4,3.15,7.0
3,2003,2602,Jerome,Beasley,Jerome Beasley,SF-PF,81.0,237,84.5,107.0,8' 11'',27.0,32.0,11.36,3.25,10.0
4,2003,2559,Troy,Bell,Troy Bell,PG,72.25,178,77.0,97.5,8' 1.5'',34.5,41.0,10.89,3.06,17.0
5,2003,12073,LaVell,Blanchard,LaVell Blanchard,SF,78.0,205,78.0,101.5,8' 5.5'',33.5,36.5,11.64,3.38,12.0
6,2003,2586,Keith,Bogans,Keith Bogans,SG,76.25,213,81.25,101.0,8' 5'',29.5,35.0,11.43,3.25,10.0
7,2003,2588,Matt,Bonner,Matt Bonner,PF-SF,80.5,242,80.75,105.5,8' 9.5'',27.0,32.0,11.52,3.32,20.0
8,2003,2547,Chris,Bosh,Chris Bosh,PF,82.25,225,87.5,109.0,9' 1'',30.5,33.0,11.8,3.3,9.0
9,2003,2651,Jermaine,Boyette,Jermaine Boyette,PG-SG,73.0,187,76.0,96.0,8' 0'',29.0,35.5,11.2,3.07,14.0
10,2003,12295,Souleymane,Camara,Souleymane Camara,PF-SF,81.75,211.0,86.25,109.0,9' 1'',28.5,34.5,11.51,3.2,2.0
11,2003,2679,Matt,Carroll,Matt Carroll,SG-SF,77.0,207,78.5,98.5,8' 2.5'',29.0,33.5,11.11,3.35,13.0
12,2003,2555,Nick,Collison,Nick Collison,PF,80.75,255,85.5,108.0,9' 0'',28.0,33.0,11.62,3.28,8.0
13,2003,2567,Brian,Cook,Brian Cook,PF-SF,81.5,234,86.0,109.0,9' 1'',25.0,29.0,11.87,3.45,6.0
14,2003,12074,Joel,Cornette,Joel Cornette,PF-SF,80.25,239,81.25,105.5,8' 9.5'',26.0,32.5,11.27,3.14,13.0
15,2003,2605,Marquis,Daniels,Marquis Daniels,SG-PG,77.25,198,82.0,103.5,8' 7.5'',30.5,35.0,11.62,3.25,6.0
16,2003,12075,Aleksander,Djuric,Aleksander Djuric,C-PF,82.0,253,84.0,108.0,9' 0'',23.5,27.5,11.97,3.65,3.0
17,2003,12076,Ruben,Douglas,Ruben Douglas,SG,75.5,193,79.25,100.5,8' 4.5'',28.5,35.0,11.95,3.27,9.0
18,2003,2648,Ronald,Dupree,Ronald Dupree,SF-SG,78.0,209,80.25,101.0,8' 5'',37.5,41.5,11.09,3.23,11.0
19,2003,2606,Carl,English,Carl English,SG-PG,76.0,201,77.25,98.5,8' 2.5'',28.0,34.0,11.77,3.32,11.0
21,2003,12078,Marquis,Estill,Marquis Estill,PF-C,80.5,257,88.0,108.0,9' 0'',30.0,36.0,12.92,3.31,7.0
22,2003,2551,T.J.,Ford,T.J. Ford,PG,71.0,162,71.5,93.5,7' 9.5'',32.5,39.5,11.45,3.2,0.0
23,2003,12079,Jason,Gardner,Jason Gardner,PG,69.75,194,73.0,92.0,7' 8'',30.5,35.0,10.62,3.17,10.0
24,2003,2584,Willie,Green,Willie Green,SG-PG,74.5,201,79.25,100.0,8' 4'',28.5,28.5,11.86,3.19,13.0
25,2003,12080,Justin,Hamilton,Justin Hamilton,PG-SG,75.0,217,83.0,103.0,8' 7'',30.0,37.5,11.18,3.18,17.0
26,2003,2580,Travis,Hansen,Travis Hansen,SG,76.5,200,78.5,100.5,8' 4.5'',31.5,35.0,10.72,3.18,16.0
27,2003,12081,Trevor,Harvey,Trevor Harvey,C-PF,81.5,245,85.0,109.5,9' 1.5'',29.5,32.0,11.85,3.32,11.0
28,2003,2618,Marcus,Hatten,Marcus Hatten,PG,72.75,163,78.25,98.0,8' 2'',29.5,37.5,11.5,3.15,7.0
29,2003,2550,Kirk,Hinrich,Kirk Hinrich,PG-SG,74.75,186,78.0,98.5,8' 2.5'',29.0,33.5,10.98,3.1,10.0
30,2003,12082,Jerry,Holman,Jerry Holman,PF,80.75,232,87.25,109.5,9' 1.5'',33.0,37.5,11.54,3.24,11.0
32,2003,2572,Josh,Howard,Josh Howard,SF-SG,77.25,202,86.0,105.5,8' 9.5'',33.0,36.5,10.89,3.09,4.0
33,2003,2599,Brandon,Hunter,Brandon Hunter,PF,78.5,266,86.75,105.5,8' 9.5'',32.5,35.0,11.13,3.21,25.0
34,2003,12084,Sani,Ibrahim,Sani Ibrahim,C-PF,80.5,229,85.0,109.5,9' 1.5'',26.0,30.5,13.02,3.4,12.0
35,2003,12085,Michael,Ignerski,Michael Ignerski,PF-SF,81.5,232,82.75,107.0,8' 11'',26.5,33.0,11.21,3.13,10.0
36,2003,12086,Robert,Jackson,Robert Jackson,PF-C,79.75,254,84.0,107.5,8' 11.5'',23.5,26.0,11.26,3.25,15.0
38,2003,2639,Britton,Johnsen,Britton Johnsen,SF-PF,82.0,212,82.75,107.5,8' 11.5'',26.5,32.5,10.67,3.08,13.0
39,2003,2592,James,Jones,James Jones,SF,79.25,218,86.5,107.5,8' 11.5'',30.5,33.0,11.18,3.19,9.0
41,2003,2549,Chris,Kaman,Chris Kaman,C-PF,83.5,252,83.75,110.5,9' 2.5'',23.5,30.5,11.33,3.37,15.0
42,2003,2574,Jason,Kapono,Jason Kapono,SG-SF,78.5,215,78.5,102.0,8' 6'',23.5,30.0,11.04,3.38,8.0
43,2003,12087,Jason,Keep,Jason Keep,C-PF,81.75,270,84.5,106.5,8' 10.5'',29.5,34.0,11.18,3.3,27.0
44,2003,12088,Bernard,King,Bernard King,SG-PG,75.75,200,77.5,98.5,8' 2.5'',28.0,33.5,11.37,3.18,11.0
46,2003,2594,Kyle,Korver,Kyle Korver,SF,78.25,211,81.5,102.5,8' 6.5'',25.5,31.5,11.42,3.47,13.0
47,2003,2591,James,Lang,James Lang,C-PF,80.25,316,90.25,110.0,9' 2'',24.5,32.0,14.01,3.55,8.0
48,2003,12089,Donald,Little,Donald Little,PF-C,81.5,229,87.0,97.0,8' 1'',33.0,37.0,11.18,3.2,18.0
50,2003,12090,Chris,Massie,Chris Massie,PF-C,78.5,259,85.0,106.5,8' 10.5'',26.5,33.0,12.48,3.22,13.0
51,2003,12091,Will,McDonald,Will McDonald,C-PF,81.5,258,87.5,109.5,9' 1.5'',25.0,32.5,11.83,3.42,17.0
52,2003,2545,Darko,Milicic,Darko Milicic,PF,83.5,250,89.0,111.5,9' 3.5'',26.5,32.5,11.3,3.36,13.0
53,2003,12092,Jeff,Newton,Jeff Newton,PF,80.0,199,85.0,106.0,8' 10'',27.5,34.0,11.18,3.23,9.0
54,2003,12093,Uche,Nsonwu-Amadi,Uche Nsonwu-Amadi,PF-C,79.75,246,87.75,106.5,8' 10.5'',27.5,29.0,11.83,3.25,21.0
55,2003,12094,Ugonna,Okyekwe,Ugonna Okyekwe,SF,79.25,228,87.0,109.0,9' 1'',32.0,36.5,11.43,3.2,8.0
57,2003,12095,Stephane,Pelle,Stephane Pelle,PF-SF,79.0,246,86.0,107.0,8' 11'',28.5,33.0,11.37,3.27,17.0
58,2003,2632,Kirk,Penney,Kirk Penney,SG-SF,77.0,218,77.25,97.0,8' 1'',32.0,35.5,10.44,3.04,15.0
59,2003,2750,Pavel,Podkolzin,Pavel Podkolzin,C,87.5,303,89.75,116.0,9' 8'',19.5,22.5,13.4,3.8,5.0
60,2003,2694,Josh,Powell,Josh Powell,PF-SF,80.0,227,85.0,107.5,8' 11.5'',32.5,38.5,11.72,3.2,15.0
61,2003,12096,Hollis,Price,Hollis Price,PG-SG,71.5,165,76.5,94.5,7' 10.5'',27.5,33.0,10.72,3.25,1.0
62,2003,2557,Luke,Ridnour,Luke Ridnour,PG,73.0,167,75.0,95.5,7' 11.5'',26.0,32.5,11.0,3.28,0.0
63,2003,12097,Joe,Shipp,Joe Shipp,SG,76.0,224,82.0,103.0,8' 7'',29.0,34.5,11.75,3.2,17.0
64,2003,12098,Ron,Slay,Ron Slay,SF-PF,78.0,236,82.0,103.5,8' 7.5'',28.5,31.5,12.01,3.43,10.0
65,2003,2604,Theron,Smith,Theron Smith,PF-SF,78.5,234,82.25,104.5,8' 8.5'',28.5,32.0,10.99,3.1,25.0
66,2003,2596,Tommy,Smith,Tommy Smith,PF-SF,81.0,200,86.5,107.5,8' 11.5'',30.0,33.0,11.54,3.14,2.0
67,2003,12099,Marvin,Stone,Marvin Stone,C-PF,81.5,261,87.5,109.5,9' 1.5'',25.5,27.5,12.1,3.5,9.0
68,2003,2552,Michael,Sweetney,Michael Sweetney,PF,79.25,262,85.0,107.5,8' 11.5'',26.0,31.5,12.9,3.28,3.0
70,2003,2548,Dwyane,Wade,Dwyane Wade,SG-SF,75.75,212,82.75,102.0,8' 6'',31.5,35.0,10.56,3.08,9.0
71,2003,12101,Wayne,Wallace,Wayne Wallace,PF,79.25,187,86.0,108.0,9' 0'',29.5,36.0,11.85,3.24,6.0
73,2003,2561,David,West,David West,PF-SF,80.25,226,88.25,108.25,9' 0.25'',28.5,31.5,12.18,3.43,11.0
75,2003,12102,Wesley,Wilson,Wesley Wilson,C-PF,82.25,257,87.0,110.5,9' 2.5'',27.0,30.5,12.19,3.3,20.0
76,2003,12103,Doug,Wrenn,Doug Wrenn,SF-PF,77.75,220,91.5,100.5,8' 4.5'',34.5,41.0,11.38,3.17,15.0
77,2003,2583,Derrick,Zimmerman,Derrick Zimmerman,PG,73.0,190,81.0,96.25,8' .25'',34.0,40.5,11.09,3.1,13.0
0,2004,2754,Tony,Allen,Tony Allen,SG,75.5,214,81.0,102.0,8' 6'',31.5,36.5,10.7,3.19,17.0
1,2004,2772,Trevor,Ariza,Trevor Ariza,SG-SF,79.0,201,86.0,107.5,8' 11.5'',29.5,32.0,11.63,3.29,8.0
2,2004,2857,Andre,Barrett,Andre Barrett,PG,68.75,171,73.0,92.0,7' 8'',29.0,34.5,10.63,3.08,13.0
3,2004,101138,Brandon,Bass,Brandon Bass,PF,78.25,246,86.5,106.5,8' 10.5'',31.5,33.0,11.61,3.24,18.0
6,2004,12173,Brian,Boddicker,Brian Boddicker,SF-PF,79.5,230,82.0,105.5,8' 9.5'',28.0,30.0,10.93,3.25,16.0
7,2004,12174,Tim,Bowers,Tim Bowers,PG-SG,72.5,181,81.0,98.0,8' 2'',37.0,43.5,11.24,3.21,13.0
8,2004,2810,Andre,Brown,Andre Brown,PF-C,80.0,236,83.0,107.0,8' 11'',32.0,35.5,11.7,3.22,18.0
10,2004,2866,Jackie,Butler,Jackie Butler,C,80.0,263,85.5,109.0,9' 1'',23.0,25.0,13.32,3.4,14.0
11,2004,12175,Aleksandar,Capin,Aleksandar Capin,PG,72.0,176,73.5,94.0,7' 10'',23.0,29.0,11.5,3.27,4.0
12,2004,12176,Ales,Chan,Ales Chan,C,84.0,255,87.0,113.0,9' 5'',21.0,29.0,12.9,3.62,2.0
13,2004,2735,Josh,Childress,Josh Childress,SG-SF,77.75,196,83.0,105.0,8' 9'',29.0,36.0,11.95,3.38,11.0
14,2004,200555,TJ,Cummings,TJ Cummings,SF,79.5,215,81.5,106.5,8' 10.5'',27.0,31.0,11.58,3.12,6.0
15,2004,2845,Erik,Daniels,Erik Daniels,SF-PF,78.25,223,83.0,106.0,8' 10'',31.0,32.0,11.38,3.19,4.0
16,2004,2736,Luol,Deng,Luol Deng,SF,79.0,220,84.5,108.5,9' 0.5'',27.5,31.5,11.46,3.34,5.0
17,2004,12177,Marcus,Douthit,Marcus Douthit,C-PF,81.5,223,88.0,111.5,9' 3.5'',25.5,31.5,11.64,3.34,1.0
18,2004,2768,Chris,Duhon,Chris Duhon,PG,72.0,193,78.5,98.0,8' 2'',31.5,35.0,10.45,3.14,7.0
21,2004,2824,Desmon,Farmer,Desmon Farmer,SG,76.5,214,80.5,103.0,8' 7'',24.0,31.0,10.89,3.2,12.0
22,2004,2784,Luis,Flores,Luis Flores,PG-SG,72.5,202,79.5,98.5,8' 2.5'',29.0,32.0,10.97,3.1,15.0
23,2004,2782,Matt,Freije,Matt Freije,SF-PF,80.25,234,85.0,108.5,9' 0.5'',29.5,31.0,11.15,3.25,13.0
24,2004,12178,Chris,Garnett,Chris Garnett,C-PF,80.25,260,85.0,108.0,9' 0'',27.0,31.5,11.75,3.36,22.0
25,2004,101155,Ryan,Gomes,Ryan Gomes,SF-PF,78.5,248,86.0,106.5,8' 10.5'',26.5,30.5,12.49,3.24,9.0
26,2004,2732,Ben,Gordon,Ben Gordon,PG-SG,73.0,192,80.5,99.0,8' 3'',31.5,37.5,11.28,3.19,12.0
27,2004,2734,Devin,Harris,Devin Harris,PG,73.75,170,79.5,98.5,8' 2.5'',30.5,37.0,11.03,3.19,5.0
28,2004,2730,Dwight,Howard,Dwight Howard,PF-C,81.0,240,88.5,111.5,9' 3.5'',30.5,35.5,11.21,3.14,7.0
30,2004,2743,Kris,Humphries,Kris Humphries,PF,80.25,238,84.5,106.5,8' 10.5'',29.5,36.0,11.33,3.2,22.0
31,2004,2738,Andre,Iguodala,Andre Iguodala,SG-SF,77.75,217,83.0,105.5,8' 9.5'',30.5,34.5,11.17,3.18,4.0
32,2004,12180,Martin,Iti,Martin Iti,C-PF,80.5,233,89.0,111.5,9' 3.5'',26.5,32.5,12.28,3.41,13.0
33,2004,2739,Luke,Jackson,Luke Jackson,SF-SG,78.0,212,80.5,103.0,8' 7'',26.5,36.0,11.1,3.24,13.0
34,2004,2744,Al,Jefferson,Al Jefferson,PF-SF,80.5,263,86.5,110.0,9' 2'',28.5,30.0,13.08,3.29,3.0
35,2004,2865,Arthur,Johnson,Arthur Johnson,PF-C,79.0,262,87.0,109.0,9' 1'',26.5,28.5,11.81,3.38,14.0
36,2004,12181,Ivan,Koljevic,Ivan Koljevic,PG,73.0,172,74.5,95.0,7' 11'',26.0,28.5,11.07,3.28,4.0
40,2004,12184,Jaime,Lloreda,Jaime Lloreda,PF,78.75,247,81.5,107.0,8' 11'',25.5,29.5,12.93,3.23,6.0
41,2004,12000,Bryant,Matthews,Bryant Matthews,SF-SG,77.75,206,84.5,105.5,8' 9.5'',29.0,34.5,11.08,3.13,13.0
42,2004,12001,Marcus,Melvin,Marcus Melvin,SF-PF,78.75,241,84.0,105.5,8' 9.5'',25.0,30.5,11.81,3.33,11.0
43,2004,2822,Rich,Melzer,Rich Melzer,PF-SF,79.5,229,86.0,107.0,8' 11'',24.5,28.5,11.74,3.39,8.0
44,2004,2777,Ricky,Minard,Ricky Minard,PG-SG,75.25,198,79.0,101.5,8' 5.5'',27.5,33.0,10.94,3.1,13.0
47,2004,12004,Michel,Morandais,Michel Morandais,SG-SF,75.75,205,83.5,102.0,8' 6'',30.5,33.5,11.45,3.22,16.0
48,2004,2749,Jameer,Nelson,Jameer Nelson,PG,71.0,199,74.5,95.0,7' 11'',28.5,33.5,10.95,3.14,15.0
49,2004,12005,Misan,Nikagbatse,Misan Nikagbatse,SG-PG,75.5,223,82.0,102.0,8' 6'',27.5,32.5,11.27,3.32,11.0
50,2004,2731,Emeka,Okafor,Emeka Okafor,C-PF,80.75,257,88.0,110.5,9' 2.5'',31.5,34.0,12.32,3.15,22.0
51,2004,12006,Randall,Orr,Randall Orr,PF-SF,81.0,193,82.5,107.5,8' 11.5'',26.5,33.0,11.18,3.27,6.0
52,2004,12007,Dylan,Page,Dylan Page,SF,79.5,239,79.0,105.0,8' 9'',26.0,30.0,10.99,3.4,17.0
53,2004,-1,Drago,Pasalic,Drago Pasalic,PF,81.25,231,83.5,108.0,9' 0'',25.5,30.0,12.97,3.56,8.0
54,2004,12008,Rickey,Paulding,Rickey Paulding,SG,74.75,210,81.5,101.5,8' 5.5'',30.0,36.0,11.14,3.17,17.0
55,2004,12009,Kelvin,Pena,Kelvin Pena,SG-PG,74.25,182,78.5,99.5,8' 3.5'',27.5,32.5,11.5,3.24,1.0
57,2004,12010,Omar,Quintero,Omar Quintero,PG,69.75,170,71.5,92.5,7' 8.5'',25.0,29.0,11.37,3.25,2.0
58,2004,2762,Peter,Ramos,Peter Ramos,C,85.75,266,89.5,111.5,9' 3.5'',24.0,26.5,12.61,3.6,2.0
59,2004,2876,Jared,Reiner,Jared Reiner,C-PF,82.0,246,84.5,109.0,9' 1'',22.0,26.0,12.65,3.56,15.0
60,2004,101160,Lawrence,Roberts,Lawrence Roberts,PF,79.5,233,81.5,106.5,8' 10.5'',27.5,33.0,12.52,3.3,18.0
61,2004,2774,Bernard,Robinson,Bernard Robinson,SG-SF,77.25,208,82.0,102.0,8' 6'',28.5,34.5,10.91,3.17,14.0
62,2004,101126,Nate,Robinson,Nate Robinson,PG,67.75,181,73.0,91.5,7' 7.5'',35.5,43.5,10.75,2.96,13.0
63,2004,12011,Aerick,Sanders,Aerick Sanders,PF,78.5,205,83.5,106.0,8' 10'',24.5,30.5,11.98,3.37,9.0
64,2004,2781,Romain,Sato,Romain Sato,SG,74.0,204,83.0,102.5,8' 6.5'',31.5,35.5,11.27,3.18,8.0
65,2004,12012,Blagota,Sekulic,Blagota Sekulic,SF-PF,81.25,234,83.0,107.0,8' 11'',23.5,31.5,10.93,3.39,8.0
66,2004,2746,Josh,Smith,Josh Smith,SG-SF,79.0,221,84.0,106.5,8' 10.5'',32.5,39.5,11.43,3.24,12.0
67,2004,2747,J.R.,Smith,J.R. Smith,SG-SF,77.5,227,82.0,104.0,8' 8'',29.0,35.5,10.93,3.21,5.0
68,2004,2745,Kirk,Snyder,Kirk Snyder,SG-SF,78.0,228,81.0,104.0,8' 8'',30.0,35.0,10.79,3.13,19.0
69,2004,2776,Pape,Sow,Pape Sow,PF-C,80.5,233,86.0,108.5,9' 0.5'',28.0,31.5,12.13,3.27,18.0
70,2004,12014,Tiago,Splitter,Tiago Splitter,C-PF,82.25,233,86.0,109.5,9' 1.5'',26.0,31.5,11.65,3.38,8.0
72,2004,12016,Tom,Timmerrmans,Tom Timmerrmans,PF-C,82.5,272,83.0,107.5,8' 11.5'',23.0,26.5,13.13,3.63,15.0
75,2004,2761,Jackson,Vroman,Jackson Vroman,PF-C,81.25,226,84.0,105.5,8' 9.5'',29.5,33.5,10.75,3.25,12.0
76,2004,2753,Delonte,West,Delonte West,PG-SG,73.5,183,78.0,99.5,8' 3.5'',30.0,35.0,11.2,3.15,12.0
77,2004,2863,Damien,Wilkins,Damien Wilkins,SG-SF,76.5,222,84.0,106.0,8' 10'',26.5,31.0,11.92,3.15,15.0
79,2004,12293,Nate,Williams,Nate Williams,PF-SF,80.5,240,85.5,109.5,9' 1.5'',23.5,26.0,12.6,3.35,1.0
80,2004,12294,Rashad,Wright,Rashad Wright,PG,72.5,190,82.0,98.5,8' 2.5'',28.5,32.5,11.15,3.28,10.0
0,2005,101165,Alex,Acker,Alex Acker,SG,75.75,183,84.0,102.5,8' 6.5'',28.0,32.0,11.67,3.35,11.0
1,2005,101224,Deji,Akindele,Deji Akindele,C-PF,81.5,236.4,87.0,108.5,9' 0.5'',30.5,32.5,12.58,3.35,13.0
4,2005,101187,Alan,Anderson,Alan Anderson,SG-SF,76.5,223.2,81.5,104.0,8' 8'',26.5,30.5,10.32,3.27,10.0
5,2005,101149,Martynas,Andriuskevicius,Martynas Andriuskevicius,C-PF,85.25,227.8,83.25,112.5,9' 4.5'',24.0,27.5,11.94,3.42,0.0
6,2005,101252,Sean,Banks,Sean Banks,SF,77.75,206.4,85.0,108.0,9' 0'',25.0,31.5,11.74,3.35,7.0
7,2005,101188,Eddie,Basden,Eddie Basden,SG-SF,76.25,210,82.25,101.0,8' 5'',33.0,36.5,10.52,3.21,14.0
8,2005,12105,Mike,Bell,Mike Bell,SF-PF,80.75,206.2,85.5,104.5,8' 8.5'',33.5,39.5,11.73,3.29,13.0
9,2005,101106,Andrew,Bogut,Andrew Bogut,C-PF,83.0,250.6,87.0,110.5,9' 2.5'',27.5,33.5,12.06,3.51,13.0
11,2005,101198,Will,Bynum,Will Bynum,PG-SG,70.5,188.8,75.5,93.0,7' 9'',33.0,40.5,11.12,3.0,15.0
13,2005,101215,Will,Conroy,Will Conroy,PG,73.0,188.6,75.0,96.5,8' 0.5'',30.5,36.5,10.51,3.28,14.0
14,2005,12107,Taylor,Coppenrath,Taylor Coppenrath,PF-SF,79.75,252.4,83.5,106.5,8' 10.5'',24.5,27.0,11.51,3.44,5.0
15,2005,101143,Travis,Diener,Travis Diener,PG-SG,71.75,165.2,71.75,93.5,7' 9.5'',24.5,31.0,10.85,3.26,1.0
16,2005,101113,Ike,Diogu,Ike Diogu,PF,78.5,255.4,87.5,109.0,9' 1'',28.0,31.0,11.94,3.45,21.0
17,2005,12108,Daryl,Dorsey,Daryl Dorsey,PG,71.25,160.8,71.5,94.0,7' 10'',25.0,30.5,11.41,3.24,0.0
18,2005,101145,Monta,Ellis,Monta Ellis,SG-PG,74.25,176.6,74.75,98.0,8' 2'',26.5,31.5,12.13,3.31,0.0
19,2005,101109,Raymond,Felton,Raymond Felton,PG,71.5,199.4,76.25,98.0,8' 2'',29.0,33.5,10.5,3.06,6.0
20,2005,201164,Rudy,Fernandez,Rudy Fernandez,SG,76.75,172,79.5,101.5,8' 5.5'',26.5,35.5,10.48,3.33,0.0
21,2005,12109,D'Or,Fischer,D'Or Fischer,C-PF,81.25,242.4,90.0,110.5,9' 2.5'',28.0,30.5,12.53,3.5,2.0
22,2005,12110,Eddy,Fobbs,Eddy Fobbs,C-PF,82.25,235.2,90.75,111.5,9' 3.5'',29.5,34.0,11.53,3.28,12.0
23,2005,101213,Sharrod,Ford,Sharrod Ford,PF,79.25,212.8,85.5,106.0,8' 10'',28.5,37.0,11.92,3.2,9.0
24,2005,101112,Channing,Frye,Channing Frye,PF-C,81.5,243.6,86.5,110.5,9' 2.5'',27.5,31.0,11.6,3.38,19.0
25,2005,101184,Deng,Gai,Deng Gai,PF-C,79.75,214,88.5,110.5,9' 2.5'',31.5,35.5,12.51,3.27,11.0
26,2005,101128,Francisco,Garcia,Francisco Garcia,SF-SG,77.75,189.6,82.75,103.0,8' 7'',27.5,31.5,10.63,3.33,5.0
27,2005,12111,John,Gilchrist,John Gilchrist,PG,73.25,195.2,81.25,96.5,8' 0.5'',30.5,36.5,11.48,3.15,12.0
28,2005,101162,Marcin,Gortat,Marcin Gortat,PF-C,83.0,225.2,87.5,110.0,9' 2'',29.5,36.0,11.48,3.33,18.0
29,2005,101121,Joey,Graham,Joey Graham,SF,77.25,216.6,80.0,104.0,8' 8'',30.0,36.0,10.62,3.05,26.0
30,2005,101122,Danny,Granger,Danny Granger,,79.5,225.4,85.5,103.0,8' 7'',31.0,34.0,10.84,3.34,10.0
31,2005,101123,Gerald,Green,Gerald Green,SF,78.0,192,81.75,104.0,8' 8'',31.5,39.0,11.2,3.21,7.0
32,2005,101236,Charles,Hayes,Charles Hayes,SF-PF,77.5,232.4,82.0,104.5,8' 8.5'',30.0,33.0,10.7,3.34,20.0
33,2005,101129,Luther,Head,Luther Head,PG-SG,74.0,178.8,77.25,98.5,8' 2.5'',31.5,38.5,11.12,3.21,14.0
34,2005,101125,Julius,Hodge,Julius Hodge,SG-SF,78.0,202.2,84.5,107.5,8' 11.5'',24.5,29.0,10.89,3.18,14.0
36,2005,101141,Ersan,Ilyasova,Ersan Ilyasova,SF,79.75,208.8,85.25,109.5,9' 1.5'',22.0,30.0,11.59,3.56,2.0
37,2005,101127,Jarrett,Jack,Jarrett Jack,PG,74.5,197.6,79.5,100.0,8' 4'',26.0,28.5,10.87,3.24,5.0
38,2005,101204,Dwayne,Jones,Dwayne Jones,C-PF,80.5,242.2,86.75,108.5,9' 0.5'',28.0,31.5,11.87,3.25,15.0
39,2005,12113,Mindaugas,Katelynas,Mindaugas Katelynas,SF-PF,79.5,217,83.0,105.5,8' 9.5'',31.5,35.0,11.6,3.38,7.0
40,2005,201318,Jason,Klotz,Jason Klotz,C-PF,80.5,249.4,82.0,107.5,8' 11.5'',21.5,27.0,13.13,3.68,12.0
41,2005,-1,Carl,Krauser,Carl Krauser,PG-SG,71.5,193.4,77.5,98.5,8' 2.5'',26.0,31.0,11.62,3.38,8.0
42,2005,101247,Keith,Langford,Keith Langford,SG-SF,74.25,203.2,81.0,101.0,8' 5'',32.0,29.5,11.38,3.23,8.0
43,2005,101135,David,Lee,David Lee,PF,79.75,229.5,84.0,106.5,8' 10.5'',30.5,32.5,10.8,3.19,14.0
45,2005,101249,John,Lucas III,John Lucas III,PG,69.25,154.4,72.0,92.0,7' 8'',29.0,34.0,10.44,3.14,4.0
46,2005,101185,Rawle,Marshall,Rawle Marshall,SG-SF,76.5,186.6,85.0,104.0,8' 8'',30.5,37.0,11.64,3.21,7.0
48,2005,101118,Sean,May,Sean May,PF,79.0,258.8,85.25,105.0,8' 9'',30.0,33.0,11.04,3.29,12.0
49,2005,101119,Rashad,McCants,Rashad McCants,SG,74.75,201,82.75,103.5,8' 7.5'',32.5,34.5,10.39,3.11,15.0
