,SEASON,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,WEIGHT,WINGSPAN,STANDING_REACH,STANDING_REACH_FT_IN,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS
51,2000,12021,Aubrey,Reese,Aubrey Reese,PG,70.75,189,77.5,94.5,7' 10.5'',31.5,37.5,11.13,3.25,14.0
53,2000,12022,Julius Doc,Robinson,Julius Doc Robinson,PG,72.0,184,75.75,95.5,7' 11.5'',30.0,37.5,12.54,3.41,0.0
54,2000,12023,Pepe,Sanchez,Pepe Sanchez,PG,75.0,194,75.5,96.0,8' 0'',26.0,31.0,11.62,3.44,8.0
55,2000,12024,Matt,Santangelo,Matt Santangelo,PG,72.0,177,75.0,94.0,7' 10'',33.5,43.0,10.66,3.06,12.0
56,2000,2637,Alex,Scales,Alex Scales,SG-PG,74.25,184.5,81.0,97.5,8' 1.5'',38.5,42.5,10.98,3.21,10.0
57,2000,12025,Karim,Shabazz,Karim Shabazz,C,83.5,224,87.0,111.5,9' 3.5'',24.5,28.0,12.72,3.36,2.0
58,2000,12026,Nick,Sheppard,Nick Sheppard,PF-C,81.5,273,83.0,107.5,8' 11.5'',23.5,25.5,12.14,3.52,18.0
59,2000,2065,Mike,Smith,Mike Smith,SF,78.5,198,80.5,103.0,8' 7'',33.0,21.0,11.32,3.22,12.0
60,2000,2074,Jabari,Smith,Jabari Smith,PF-C,81.75,240.5,86.5,109.5,9' 1.5'',24.5,30.0,12.45,3.43,15.0
61,2000,12027,Jarrett,Stephens,Jarrett Stephens,PF,77.25,258,81.25,103.0,8' 7'',27.0,29.0,11.98,3.46,13.0
62,2000,12028,Bootsy,Thornton,Bootsy Thornton,SG,75.5,194.5,78.5,101.5,8' 5.5'',26.5,31.0,12.08,3.33,7.0
63,2000,12029,Jaquay,Walls,Jaquay Walls,PG,73.25,165.5,74.5,96.5,8' 0.5'',28.5,35.5,10.75,3.23,0.0
64,2000,12030,Jameel,Watkins,Jameel Watkins,PF-C,81.5,244.5,90.0,110.0,9' 2'',28.0,30.5,12.38,3.45,11.0
0,2001,12033,Adam,Allenspach,Adam Allenspach,C,83.5,259,84.5,107.0,8' 11'',28.5,31.0,11.9,3.4,16.0
2,2001,2220,Brandon,Armstrong,Brandon Armstrong,SG,75.5,188,81.5,99.5,8' 3.5'',30.0,37.0,10.91,3.2,6.0
3,2001,2203,Shane,Battier,Shane Battier,SF-PF,80.25,229,82.5,105.0,8' 9'',29.5,33.0,10.95,3.3,12.0
4,2001,12034,Cookie,Belcher,Cookie Belcher,SG-PG,75.0,206,80.5,99.0,8' 3'',35.0,41.5,11.26,2.91,7.0
5,2001,2294,Charlie,Bell,Charlie Bell,PG,74.5,200,79.5,97.5,8' 1.5'',31.5,38.0,10.59,3.12,15.0
6,2001,2257,Ruben,Boumtje-Boumtje,Ruben Boumtje-Boumtje,C,83.5,245,88.0,111.0,9' 3'',26.5,31.0,11.84,3.33,6.0
7,2001,12035,Calvin,Bowman,Calvin Bowman,PF,80.75,214,83.5,104.0,8' 8'',28.5,34.5,11.96,3.21,7.0
8,2001,2214,Michael,Bradley,Michael Bradley,PF,81.5,227,85.5,107.0,8' 11'',27.0,30.0,11.11,3.35,13.0
9,2001,2249,Jamison,Brewer,Jamison Brewer,PG,74.5,178,80.75,102.5,8' 6.5'',26.0,32.5,9.65,3.15,12.0
10,2001,2198,Kwame,Brown,Kwame Brown,PF-C,82.0,243,85.0,108.0,9' 0'',30.0,33.0,11.59,3.45,17.0
11,2001,12031,SirValiant,Brown,SirValiant Brown,PG,71.0,176,76.0,92.5,7' 8.5'',31.0,39.5,11.23,3.0,10.0
12,2001,2245,Damone,Brown,Damone Brown,SF,80.25,202,83.75,104.5,8' 8.5'',32.0,37.0,11.81,3.27,6.0
13,2001,12032,Ryan,Carroll,Ryan Carroll,SF-SG,76.0,202,80.25,99.0,8' 3'',34.5,39.0,11.0,3.1,14.0
14,2001,2199,Tyson,Chandler,Tyson Chandler,SF-PF,83.5,224,87.0,110.0,9' 2'',31.0,33.5,12.13,3.36,2.0
15,2001,2251,Eric,Chenowith,Eric Chenowith,C,85.0,264,88.0,111.0,9' 3'',23.5,27.5,12.5,3.59,6.0
16,2001,2439,Sam,Clancy,Sam Clancy,PF,78.25,242,86.75,107.0,8' 11'',31.0,34.0,11.47,3.13,15.0
17,2001,12036,Gyasi,Cline-Heard,Gyasi Cline-Heard,PF,78.25,231,83.5,103.0,8' 7'',31.5,34.5,11.4,3.23,11.0
18,2001,2215,Jason,Collins,Jason Collins,PF-C,82.25,251,88.5,110.0,9' 2'',25.5,28.5,12.1,3.54,8.0
19,2001,2260,Jarron,Collins,Jarron Collins,C-PF,81.25,252,87.0,104.0,8' 8'',23.0,29.0,11.65,3.6,10.0
20,2001,2241,Omar,Cook,Omar Cook,PG,71.5,189,77.5,92.0,7' 8'',31.0,35.5,10.77,3.2,9.0
21,2001,2201,Eddy,Curry,Eddy Curry,C,82.5,301,90.5,111.0,9' 3'',28.0,31.0,12.25,3.53,16.0
22,2001,12037,Tate,Decker,Tate Decker,SF,81.25,218,83.75,107.0,8' 11'',25.5,28.5,12.19,3.47,13.0
23,2001,2205,DeSagana,Diop,DeSagana Diop,C,82.0,314,90.5,113.0,9' 5'',21.5,25.5,12.37,3.56,15.0
24,2001,12038,Robb,Dryden,Robb Dryden,C,85.0,241,86.5,110.2,9' 2.25'',27.0,30.0,12.47,3.46,8.0
25,2001,12039,Anthony,Evans,Anthony Evans,PF,78.0,267,83.5,101.5,8' 5.5'',31.5,33.0,12.56,3.31,18.0
26,2001,2230,Maurice,Evans,Maurice Evans,SG,76.25,221,80.0,101.0,8' 5'',34.5,37.5,10.08,3.12,22.0
27,2001,12150,Benjamin,Eze,Benjamin Eze,C-PF,80.75,232,90.0,109.0,9' 1'',29.0,32.0,13.05,3.36,14.0
28,2001,2386,Kimani,Ffriend,Kimani Ffriend,C-PF,81.5,228,82.75,108.5,9' 0.5'',32.0,33.0,11.46,3.09,9.0
