,SEASON,PLAYER_ID,FIRST_NAME,LAST_NAME,Player,POSITION,HEIGHT_WO_SHOES,WEIGHT,WINGSPAN,STANDING_REACH,STANDING_REACH_FT_IN,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,Pos,G,MP,FG%,2P%,3P%,FT%,PTS,TRB,AST,STL,BLK,PER,WS,BPM,Year,Pick,Age
52,2012,203111,Orlando,Johnson,Orlando Johnson,SG,75.75,223.8,83.25,99.0,8' 3'',32.0,39.5,10.98,3.25,G,31,1067,.451,.464,.427,.698,19.7,5.8,2.9,1.1,0.7,26.0,5.2,6.3,2012,36,23
53,2012,203130,Darius,Johnson-Odom,Darius Johnson-Odom,SG,73.5,212,79.0,96.0,8' 0'',33.5,41.5,10.76,3.21,G,34,1120,.447,.493,.385,.764,18.3,3.5,2.7,0.9,0.1,20.1,4.7,6.8,2012,55,22
54,2012,203093,Terrence,Jones,Terrence Jones,PF-SF,80.25,252,86.25,107.0,8' 11'',29.5,34.5,11.57,3.4,F,38,1115,.500,.528,.327,.627,12.3,7.2,1.3,1.3,1.8,24.3,5.8,10.2,2012,18,20
55,2012,203103,Perry,Jones,Perry Jones,PF-SF,82.25,233.8,85.75,107.0,8' 11'',33.0,38.5,11.31,3.19,F,33,1013,.500,.520,.303,.696,13.5,7.6,1.3,0.8,0.6,21.2,4.2,5.2,2012,28,20
56,2012,203077,Michael,Kidd-Gilchrist,Michael Kidd-Gilchrist,SF,77.75,232.8,84.0,104.5,8' 8.5'',32.0,35.5,11.77,3.18,F,40,1245,.491,.535,.255,.745,11.9,7.4,1.9,1.0,0.9,21.2,6.0,7.7,2012,2,18
57,2012,203117,Doron,Lamb,Doron Lamb,SG-PG,75.25,199.4,78.75,98.5,8' 2.5'',29.0,33.5,11.12,3.41,G,40,1249,.474,.481,.466,.826,13.7,2.7,1.5,0.5,0.1,19.2,6.2,7.3,2012,42,20
58,2012,203087,Jeremy,Lamb,Jeremy Lamb,SG,76.0,179.2,83.0,102.0,8' 6'',31.5,38.0,10.98,3.25,G,34,1266,.478,.601,.336,.810,17.7,4.9,1.7,1.2,0.6,22.1,5.2,7.8,2012,12,20
59,2012,203086,Meyers,Leonard,Meyers Leonard,C,83.75,249.8,87.0,108.0,9' 0'',30.0,32.5,11.34,3.41,C,32,1018,.584,.604,.091,.732,13.6,8.2,1.3,0.5,1.9,24.1,4.6,7.2,2012,11,20
60,2012,203081,Damian,Lillard,Damian Lillard,PG,73.75,188.8,79.75,95.5,7' 11.5'',34.5,39.5,11.15,3.34,G,32,1105,.467,.517,.409,.887,24.5,5.0,4.0,1.5,0.2,34.0,8.0,9.8,2012,6,21
61,2012,203088,Kendall,Marshall,Kendall Marshall,PG,75.25,198.4,77.5,96.0,8' 0'',31.0,37.0,12.03,3.23,G,36,1189,.467,.527,.354,.696,8.1,2.6,9.8,1.2,0.2,17.2,4.4,6.6,2012,13,20
62,2012,203097,Fab,Melo,Fab Melo,C,82.75,255,86.5,110.0,9' 2'',29.5,31.0,12.14,3.44,C,30,763,.566,.566,0,.633,7.8,5.8,0.7,0.5,2.9,20.7,3.0,5.3,2012,22,22
63,2012,203114,Khris,Middleton,Khris Middleton,SF,78.75,216.2,82.75,103.0,8' 7'',28.0,31.0,11.45,3.47,F,20,575,.415,.485,.260,.750,13.2,5.0,2.3,1.0,0.3,18.9,1.6,6.2,2012,39,20
64,2012,203121,Darius,Miller,Darius Miller,SF-SG,78.0,233.4,81.0,101.0,8' 5'',33.0,37.0,11.34,3.31,G,40,1043,.474,.569,.376,.797,9.9,2.8,2.1,0.8,0.3,18.1,4.5,7.5,2012,46,22
65,2012,203113,Quincy,Miller,Quincy Miller,SF,80.75,218.7,85.25,105.0,8' 9'',30.5,36.0,11.05,3.48,F,37,903,.447,.475,.348,.816,10.6,4.9,1.4,0.7,0.6,19.4,3.5,5.3,2012,38,19
66,2012,203183,Tony,Mitchell,Tony Mitchell,SG,77.25,216.4,82.0,100.0,8' 4'',31.5,40.0,11.72,3.47,F,32,1037,.440,.505,.300,.675,13.0,8.5,0.8,1.0,2.7,20.8,3.3,2.2,2013,37,21
67,2013,203502,Tony,Mitchell,Tony Mitchell,PF-SF,79.5,236.4,86.5,106.5,8' 10.5'',33.5,38.0,11.82,3.52,F,32,1037,.440,.505,.300,.675,13.0,8.5,0.8,1.0,2.7,20.8,3.3,2.2,2013,37,21
68,2012,203102,Arnett,Moultrie,Arnett Moultrie,PF,81.5,232.8,86.25,106.5,8' 10.5'',33.5,37.5,11.32,3.22,F,30,1073,.549,.555,.444,.780,16.4,10.5,1.2,0.8,0.8,25.2,5.0,5.2,2012,27,21
69,2012,203122,Kevin,Murphy,Kevin Murphy,SG,77.0,194,78.75,99.0,8' 3'',31.0,36.5,10.97,3.42,G,33,1139,.444,.460,.416,.721,20.6,5.2,2.3,0.8,0.2,20.8,3.7,0.6,2012,47,22
70,2012,203094,Andrew,Nicholson,Andrew Nicholson,PF,80.5,234,88.0,107.0,8' 11'',28.5,30.5,11.89,3.67,F,32,962,.571,.593,.434,.776,18.5,8.4,1.0,0.7,2.0,31.6,5.8,9.4,2012,19,22
71,2012,203124,Kyle,O'Quinn,Kyle O'Quinn,PF,80.5,240.8,88.75,106.5,8' 10.5'',31.5,31.5,11.65,3.53,C,36,1125,.573,.610,.188,.696,15.9,10.3,1.4,0.7,2.7,28.6,6.2,5.0,2012,49,22
72,2012,203101,Miles,Plumlee,Miles Plumlee,PF-C,82.5,252.4,84.75,105.5,8' 9.5'',34.0,40.5,10.64,3.36,F,34,697,.610,.610,0,.632,6.6,7.1,0.5,0.5,0.9,21.8,3.1,6.2,2012,26,23
73,2012,203085,Austin,Rivers,Austin Rivers,SG-PG,75.5,202.8,79.25,96.5,8' 0.5'',32.5,37.5,11.54,3.32,G,34,1129,.433,.477,.365,.658,15.5,3.4,2.1,1.0,0.0,16.9,3.5,4.0,2012,10,19
74,2012,203080,Thomas,Robinson,Thomas Robinson,PF,79.75,244.2,87.25,106.0,8' 10'',28.5,35.5,11.96,3.17,F,39,1242,.505,.505,.500,.682,17.7,11.9,1.8,1.1,0.9,27.4,7.2,8.8,2012,5,21
75,2012,203082,Terrence,Ross,Terrence Ross,SG-SF,78.0,196.6,79.25,100.5,8' 4.5'',31.0,37.5,11.78,3.28,G,35,1088,.457,.518,.371,.766,16.4,6.4,1.4,1.3,0.9,22.3,4.9,7.9,2012,8,21
76,2012,203118,Mike,Scott,Mike Scott,PF,79.25,240.8,82.75,104.0,8' 8'',27.0,32.5,11.59,3.44,F,32,999,.563,.577,.300,.808,18.0,8.3,1.2,0.7,0.5,30.7,6.8,10.4,2012,43,23
77,2012,203096,Jared,Sullinger,Jared Sullinger,PF,79.75,268.2,85.25,105.5,8' 9.5'',29.5,31.0,12.77,3.81,F,37,1123,.519,.531,.400,.768,17.5,9.2,1.2,1.2,1.1,30.2,7.9,11.7,2012,21,20
78,2012,203116,Tyshawn,Taylor,Tyshawn Taylor,PG,74.75,177,78.25,97.5,8' 1.5'',32.0,36.5,11.48,3.2,G,39,1303,.477,.522,.382,.688,16.6,2.3,4.8,1.3,0.2,19.8,5.2,7.2,2012,41,22
79,2012,203104,Marquis,Teague,Marquis Teague,PG,73.0,179.8,79.25,96.5,8' 0.5'',32.5,40.5,10.65,3.19,G,40,1303,.412,.438,.325,.714,10.0,2.5,4.8,0.9,0.3,13.2,3.5,2.3,2012,29,19
80,2012,203100,Tony,Wroten,Tony Wroten,PG,76.75,203.2,81.0,101.0,8' 5'',30.0,35.5,10.75,3.24,G,35,1062,.443,.483,.161,.583,16.0,5.0,3.7,1.9,0.4,20.4,3.2,4.7,2012,25,19
81,2012,203092,Tyler,Zeller,Tyler Zeller,PF-C,83.25,247.4,84.0,104.5,8' 8.5'',30.0,34.0,11.13,3.4,F,38,1070,.553,.553,0,.808,16.3,9.6,0.9,0.9,1.5,29.9,7.1,10.7,2012,17,22
82,2013,203500,Steven,Adams,Steven Adams,C,82.75,254.5,88.5,109.5,9' 1.5'',28.5,33.0,11.85,3.4,C,32,749,.571,.571,0,.443,7.2,6.3,0.6,0.7,2.0,23.2,3.5,8.1,2013,12,19
83,2013,203485,Lorenzo,Brown,Lorenzo Brown,PG,76.0,189.2,79.0,100.0,8' 4'',28.0,34.0,11.78,3.4,G,33,1129,.419,.465,.263,.771,12.4,4.3,7.2,2.0,0.6,19.9,3.6,5.5,2013,52,22
84,2013,203493,Reggie,Bullock,Reggie Bullock,SG-SF,77.75,199.8,80.75,102.0,8' 6'',31.0,36.5,11.33,3.31,G,35,1100,.483,.545,.436,.767,13.9,6.5,2.9,1.3,0.3,23.7,5.7,11.1,2013,25,22
85,2013,203504,Trey,Burke,Trey Burke,PG,71.75,187,77.5,97.5,8' 1.5'',29.5,36.5,11.2,3.16,G,39,1378,.463,.506,.384,.801,18.6,3.2,6.7,1.6,0.5,28.7,8.6,13.1,2013,9,20
86,2013,203484,Kentavious,Caldwell-Pope,Kentavious Caldwell-Pope,SG,76.5,203.6,80.0,100.5,8' 4.5'',29.0,34.5,10.6,3.12,G,32,1086,.433,.498,.373,.799,18.5,7.1,1.8,2.0,0.5,27.7,6.2,12.5,2013,8,20
87,2013,203477,Isaiah,Canaan,Isaiah Canaan,PG,71.0,188.4,76.5,94.5,7' 10.5'',33.0,40.5,10.98,3.22,G,31,1131,.431,.494,.370,.822,21.8,3.5,4.3,1.5,0.1,25.2,5.9,5.8,2013,34,22
88,2013,203487,Michael,Carter-Williams,Michael Carter-Williams,PG,76.75,184.4,79.25,101.0,8' 5'',31.5,41.0,10.68,3.22,G,40,1409,.393,.436,.294,.694,11.9,5.0,7.3,2.7,0.5,20.9,6.1,9.4,2013,11,21
89,2013,203459,Allen,Crabbe,Allen Crabbe,SG,77.25,197.4,83.25,103.5,8' 7.5'',30.5,36.0,10.67,3.32,G,33,1195,.459,.532,.348,.813,18.4,6.1,2.6,1.1,0.7,22.3,5.1,8.4,2013,31,21
