,SEASON,PLAYER_ID,FIRST_NAME,LAST_NAME,Player,POSITION,HEIGHT_WO_SHOES,WEIGHT,WINGSPAN,STANDING_REACH,STANDING_REACH_FT_IN,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,Pos,G,MP,FG%,2P%,3P%,FT%,PTS,TRB,AST,STL,BLK,PER,WS,BPM,Year,Pick,Age
132,2014,203901,Elfrid,Payton,Elfrid Payton,PG,74.5,185.4,80.0,98.5,8' 2.5'',31.5,35.5,11.06,3.23,G,35,1258,.509,.541,.259,.609,19.2,6.0,5.9,2.3,0.6,25.2,5.6,6.8,2014,10,20
133,2014,203939,Dwight,Powell,Dwight Powell,PF,81.5,234.4,84.5,105.0,8' 9'',28.5,35.0,11.28,3.2,F,36,1167,.462,.485,.256,.687,14.0,6.9,3.1,1.3,0.8,19.7,3.8,5.7,2014,45,22
134,2014,203944,Julius,Randle,Julius Randle,PF,79.75,249.7,84.0,105.5,8' 9.5'',29.0,35.5,11.45,3.27,F,40,1233,.501,.517,.167,.706,15.0,10.4,1.4,0.5,0.8,24.5,5.9,7.5,2014,7,19
135,2014,203935,Marcus,Smart,Marcus Smart,PG,74.0,227.2,81.25,99.0,8' 3'',33.0,36.0,10.82,3.26,G,31,1014,.422,.514,.299,.728,18.0,5.9,4.8,2.9,0.6,26.9,5.6,12.0,2014,6,20
136,2014,203893,Russ,Smith,Russ Smith,PG,71.5,160,75.5,95.0,7' 11'',29.5,34.0,11.57,3.27,G,37,1084,.468,.517,.387,.705,18.2,3.3,4.6,2.0,0.1,26.2,6.7,11.5,2014,47,23
137,2014,203917,Nik,Stauskas,Nik Stauskas,SG,77.25,206.9,79.75,102.0,8' 6'',29.0,35.5,10.79,3.27,G,36,1281,.470,.500,.442,.824,17.5,2.9,3.3,0.6,0.3,22.7,6.2,9.3,2014,8,20
138,2014,203950,Jarnell,Stokes,Jarnell Stokes,PF,79.0,262.8,85.25,103.5,8' 7.5'',31.0,36.0,11.92,3.26,F,37,1199,.531,.531,0,.696,15.1,10.6,2.0,0.7,0.9,27.6,6.8,9.5,2014,35,20
139,2014,203904,Xavier,Thames,Xavier Thames,PG,74.25,187,76.0,96.0,8' 0'',29.0,32.5,11.48,3.48,G,36,1126,.411,.432,.374,.834,17.6,2.9,3.2,1.6,0.1,26.5,7.5,12.4,2014,59,23
140,2014,203943,Noah,Vonleh,Noah Vonleh,PF,80.0,247.1,88.25,108.0,9' 0'',31.0,37.0,11.45,3.28,F,30,794,.523,.530,.485,.716,11.3,9.0,0.6,0.9,1.4,22.2,3.6,6.6,2014,9,18
141,2014,203933,T.J.,Warren,T.J. Warren,SF,79.0,220.2,82.25,104.0,8' 8'',27.0,35.5,11.1,3.26,F,35,1238,.525,.580,.267,.690,24.9,7.1,1.1,1.8,0.6,31.3,6.5,10.8,2014,14,20
142,2014,203912,C.J.,Wilcox,C.J. Wilcox,SG,75.5,201,81.75,100.5,8' 4.5'',31.0,37.5,11.3,3.22,G,32,1116,.453,.522,.391,.873,18.3,3.7,2.5,1.0,1.0,22.0,4.4,8.4,2014,28,23
143,2015,1626147,Justin,Anderson,Justin Anderson,SF-SG,77.25,230.6,83.75,101.0,8' 5'',38.0,43.0,11.13,3.22,G,26,724,.466,.479,.452,.780,12.2,4.0,1.7,0.7,0.5,23.8,4.4,12.7,2015,21,21
144,2015,1626164,Devin,Booker,Devin Booker,SG,76.5,205.8,80.25,102.5,8' 6.5'',27.5,34.5,10.27,3.28,G,38,816,.470,.527,.411,.828,10.0,2.0,1.1,0.4,0.1,19.4,4.5,9.4,2015,13,18
145,2015,1626148,Anthony,Brown,Anthony Brown,SF-SG,77.75,211,83.0,104.5,8' 8.5'',27.5,34.5,10.94,3.18,G,37,1320,.431,.424,.441,.795,14.8,6.9,2.5,0.8,0.2,19.5,5.2,7.1,2015,34,22
146,2015,1626176,Rakeem,Christmas,Rakeem Christmas,PF-C,80.25,242.6,89.25,110.5,9' 2.5'',29.0,32.0,11.6,3.47,F,31,1064,.552,.553,.000,.712,17.5,9.1,1.5,0.9,2.5,26.5,5.4,8.1,2015,36,23
147,2015,1626192,Pat,Connaughton,Pat Connaughton,SG,76.0,215,80.0,96.0,8' 0'',37.5,44.0,10.58,3.2,G,38,1351,.466,.537,.423,.781,12.5,7.4,1.5,0.7,0.9,19.4,5.4,7.6,2015,41,22
148,2015,1626183,Branden,Dawson,Branden Dawson,PF,77.5,230.2,83.0,105.0,8' 9'',28.5,34.5,12.22,3.2,F,35,1055,.535,.535,0,.490,11.9,9.1,1.7,1.2,1.7,23.8,4.4,8.6,2015,56,22
149,2015,1626155,Sam,Dekker,Sam Dekker,SF,79.75,218.6,83.5,106.0,8' 10'',25.5,34.5,10.64,3.28,F,40,1239,.525,.639,.331,.708,13.9,5.5,1.2,0.5,0.5,25.5,7.0,10.4,2015,18,21
150,2015,1626152,Olivier,Hanlan,Olivier Hanlan,PG-SG,75.25,185.8,78.0,100.0,8' 4'',28.0,34.0,11.41,3.25,G,32,1204,.454,.513,.353,.759,19.5,4.2,4.2,1.3,0.0,22.2,4.4,6.4,2015,42,22
151,2015,1626150,Andrew,Harrison,Andrew Harrison,PG,76.5,213.2,81.0,100.0,8' 4'',26.5,33.0,11.2,3.34,G,39,994,.378,.376,.383,.792,9.3,2.2,3.6,1.0,0.2,18.0,5.1,8.4,2015,44,20
152,2015,1626227,Tyler,Harvey,Tyler Harvey,SG,74.75,181.4,77.5,98.5,8' 2.5'',26.0,28.5,10.56,3.44,G,32,1182,.469,.528,.431,.852,23.1,3.6,2.6,1.1,0.1,26.9,6.1,4.4,2015,51,21
153,2015,1626178,Rondae,Hollis-Jefferson,Rondae Hollis-Jefferson,SF,77.5,210.8,86.0,104.0,8' 8'',32.0,38.0,10.41,3.12,F,38,1090,.502,.537,.207,.707,11.2,6.8,1.6,1.2,0.8,21.8,5.9,9.4,2015,23,20
154,2015,1626158,Richaun,Holmes,Richaun Holmes,PF,80.25,242.8,85.5,108.0,9' 0'',32.5,36.0,11.24,3.32,F,31,892,.563,.588,.419,.712,14.7,8.0,0.8,0.7,2.7,30.4,5.1,8.7,2015,37,21
155,2015,1626154,R.J.,Hunter,R.J. Hunter,SG,76.5,185,82.5,104.0,8' 8'',27.5,33.5,10.87,3.26,G,35,1294,.395,.488,.305,.878,19.7,4.7,3.6,2.1,1.0,25.8,6.9,7.1,2015,28,21
156,2015,1626177,Dakari,Johnson,Dakari Johnson,C,83.0,264.6,86.0,112.0,9' 4'',22.5,25.0,11.76,3.62,C,39,635,.506,.506,0,.625,6.4,4.6,0.7,0.4,0.9,22.3,3.6,8.2,2015,48,19
157,2015,1626145,Tyus,Jones,Tyus Jones,PG,72.5,184.6,77.0,97.0,8' 1'',26.5,32.5,11.84,3.32,G,39,1322,.417,.440,.379,.889,11.8,3.5,5.6,1.5,0.1,20.4,6.5,9.3,2015,24,19
158,2015,1626185,Jarell,Martin,Jarell Martin,PF,80.0,238.6,81.0,106.5,8' 10.5'',28.5,35.0,11.2,3.27,F,33,1159,.509,.545,.269,.690,16.9,9.2,1.8,1.2,0.7,21.6,5.1,4.7,2015,25,21
159,2015,1626175,Jordan,Mickey,Jordan Mickey,PF,79.0,238,87.25,106.0,8' 10'',33.0,37.5,11.72,3.28,F,31,1081,.504,.514,.111,.646,15.4,9.9,1.3,0.9,3.6,21.7,3.9,4.8,2015,33,20
160,2015,1626166,Cameron,Payne,Cameron Payne,PG,72.75,182.8,79.25,97.5,8' 1.5'',29.75,35.5,10.9,3.28,G,35,1127,.456,.513,.377,.787,20.2,3.7,6.0,1.9,0.5,30.1,7.3,9.9,2015,14,20
161,2015,1626171,Bobby,Portis,Bobby Portis,PF,81.5,246.2,86.0,108.5,9' 0.5'',25.0,31.5,11.78,3.56,F,36,1076,.536,.541,.467,.737,17.5,8.9,1.2,1.1,1.4,29.5,6.1,8.9,2015,22,20
162,2015,1626181,Norman,Powell,Norman Powell,SG,75.0,215.4,82.75,102.5,8' 6.5'',32.5,40.5,10.69,3.2,G,36,1244,.456,.503,.319,.751,16.4,4.7,2.1,1.8,0.4,19.6,4.4,6.2,2015,46,22
163,2015,1626179,Terry,Rozier,Terry Rozier,PG-SG,72.5,190.2,80.25,98.5,8' 2.5'',33.0,38.0,10.84,3.15,G,36,1260,.411,.456,.306,.790,17.1,5.6,3.0,2.0,0.2,22.1,6.0,9.4,2015,16,21
164,2015,1626160,J.P.,Tokoto,J.P. Tokoto,SF-SG,77.25,195.8,82.0,100.5,8' 4.5'',34.5,40.0,10.97,3.27,F,38,1106,.428,.435,.375,.615,8.3,5.6,4.3,1.5,0.3,15.9,3.3,7.2,2015,58,21
165,2015,1626173,Rashad,Vaughn,Rashad Vaughn,SG,75.75,198.6,79.0,101.0,8' 5'',28.0,34.0,11.4,3.21,G,23,742,.439,.481,.383,.694,17.8,4.8,1.6,0.8,0.3,20.2,2.5,4.5,2015,17,18
166,2015,1626153,Delon,Wright,Delon Wright,PG,76.25,181.4,79.5,101.5,8' 5.5'',29.5,31.0,11.16,3.29,G,35,1165,.509,.554,.356,.836,14.5,4.9,5.1,2.1,1.0,29.2,8.4,15.5,2015,20,23
167,2016,1627791,Ben,Bentil,Ben Bentil,PF,79.25,229.2,85.5,105.0,8' 9'',29.0,33.0,11.16,3.3,F,35,1198,.462,.517,.329,.782,21.1,7.7,1.1,0.9,1.0,24.8,5.8,8.2,2016,51,21
168,2016,1628417,Jaron,Blossomgame,Jaron Blossomgame,SF,78.25,213.6,82.0,102.0,8' 6'',35.0,41.0,11.53,3.2,F,33,1133,.499,.565,.255,.714,17.7,6.3,1.5,0.8,0.9,23.1,4.3,6.2,2017,59,23
169,2017,1628417,Jaron,Blossomgame,Jaron Blossomgame,SF,77.75,218.6,82.0,104.5,8' 8.5'',31.0,35.5,11.47,3.17,F,33,1133,.499,.565,.255,.714,17.7,6.3,1.5,0.8,0.9,23.1,4.3,6.2,2017,59,23
170,2016,1627762,Joel,Bolomboy,Joel Bolomboy,PF,79.5,224.4,85.75,103.5,8' 7.5'',37.5,40.5,10.26,3.17,F,33,1041,.573,.613,.364,.697,17.1,12.6,1.1,0.7,1.2,29.1,6.5,4.3,2016,52,22
171,2016,1627763,Malcolm,Brogdon,Malcolm Brogdon,SG,75.75,223,82.5,98.0,8' 2'',30.5,35.5,10.77,3.31,G,37,1263,.457,.498,.391,.897,18.2,4.1,3.1,0.9,0.2,25.1,7.0,11.3,2016,36,23
172,2016,1627737,Marquese,Chriss,Marquese Chriss,PF,80.75,233,84.25,105.0,8' 9'',32.5,38.5,11.93,3.26,F,34,848,.530,.568,.350,.682,13.7,5.4,0.8,0.9,1.6,21.6,3.1,4.9,2016,8,18
173,2016,1627766,Isaiah,Cousins,Isaiah Cousins,PG,75.25,194,78.25,98.5,8' 2.5'',30.5,37.0,10.79,3.24,G,37,1232,.406,.403,.411,.670,12.6,4.5,4.5,1.4,0.3,15.9,3.8,5.4,2016,59,22
174,2016,1627767,Cheick,Diallo,Cheick Diallo,PF,79.5,218.6,88.5,107.5,8' 11.5'',31.0,35.0,11.24,3.26,F,27,202,.569,.569,0,.556,3.0,2.5,0.0,0.3,0.9,20.5,0.8,3.7,2016,33,19
175,2016,1627770,Kay,Felder,Kay Felder,PG,68.25,177.2,74.5,88.5,7' 4.5'',35.5,44.0,11.52,3.15,G,35,1286,.440,.485,.355,.848,24.4,4.3,9.3,2.0,0.2,28.7,7.6,8.3,2016,54,21
176,2016,1627772,Daniel,Hamilton,Daniel Hamilton,SG-SF,78.25,197,81.0,103.5,8' 7.5'',26.0,29.0,11.48,3.4,G,36,1147,.387,.416,.331,.860,12.5,8.9,4.7,1.1,0.4,20.0,4.7,8.0,2016,56,20
177,2016,1628404,Josh,Hart,Josh Hart,SG,76.0,203.6,80.5,99.5,8' 3.5'',29.5,38.5,11.15,3.2,G,36,1193,.510,.579,.404,.747,18.7,6.4,2.9,1.6,0.3,28.2,7.7,12.0,2017,30,22
178,2017,1628404,Josh,Hart,Josh Hart,SG-SF,75.75,209.2,80.25,101.0,8' 5'',27.5,35.5,11.15,3.18,G,36,1193,.510,.579,.404,.747,18.7,6.4,2.9,1.6,0.3,28.2,7.7,12.0,2017,30,22
179,2016,204211,Justin,Jackson,Justin Jackson,SF,79.0,193.4,82.75,103.5,8' 7.5'',29.5,34.5,11.32,3.26,F,33,919,.438,.438,.438,.698,10.5,6.0,0.9,0.9,0.8,17.0,3.1,4.7,2017,15,22
180,2016,204211,Justin,Jackson,Justin Jackson,SF,79.0,193.4,82.75,103.5,8' 7.5'',29.5,34.5,11.32,3.26,F,40,1281,.443,.510,.370,.748,18.3,4.7,2.8,0.8,0.2,21.3,6.1,9.8,2017,15,22
181,2016,204211,Justin,Jackson,Justin Jackson,SF,79.0,193.4,82.75,103.5,8' 7.5'',29.5,34.5,11.32,3.26,F,11,321,.366,.443,.250,.828,9.8,8.1,1.9,0.8,0.8,14.2,0.7,1.9,2018,43,21
182,2016,1627743,Demetrius,Jackson,Demetrius Jackson,PG,72.0,193.8,77.5,93.0,7' 9'',37.5,43.5,10.81,3.25,G,35,1259,.451,.525,.331,.813,15.8,3.5,4.7,1.2,0.3,21.0,4.4,6.1,2016,45,21
183,2016,1627744,Brice,Johnson,Brice Johnson,PF,81.0,208.6,84.5,106.5,8' 10.5'',33.5,38.0,11.88,3.2,F,40,1121,.614,.614,0,.783,17.0,10.4,1.5,1.1,1.5,33.0,7.6,12.7,2016,25,21
184,2016,1627745,Damian,Jones,Damian Jones,C,82.25,243.6,87.75,107.0,8' 11'',36.0,37.0,11.35,3.2,C,33,866,.590,.595,.000,.536,13.9,6.9,1.2,0.2,1.6,23.3,3.8,6.2,2016,30,20
185,2016,1627774,Jake,Layman,Jake Layman,SF,80.0,208.6,81.25,102.0,8' 6'',33.0,39.5,11.35,3.24,F,36,1112,.500,.610,.396,.832,11.6,5.3,1.1,1.1,1.0,18.8,4.4,8.2,2016,47,22
186,2016,1627775,Patrick,McCaw,Patrick McCaw,PG-SG,77.25,180.8,82.0,100.5,8' 4.5'',30.0,38.0,11.01,3.3,G,33,1113,.465,.571,.366,.774,14.7,5.1,3.9,2.5,0.4,21.3,5.0,7.6,2016,38,20
187,2016,1627777,Georges,Niang,Georges Niang,PF,78.75,230.8,82.0,103.0,8' 7'',25.0,31.0,11.64,3.49,F,35,1162,.546,.605,.392,.807,20.5,6.2,3.3,0.9,0.6,25.9,5.6,8.7,2016,50,23
188,2016,1627778,Chinanu,Onuaku,Chinanu Onuaku,C,81.0,245.2,86.75,108.5,9' 0.5'',27.5,33.5,11.65,3.5,F,31,762,.620,.623,.000,.589,9.9,8.5,1.6,0.8,2.0,26.4,4.2,10.5,2016,37,19
189,2016,1627779,Marcus,Paige,Marcus Paige,PG,72.5,163.8,78.25,97.0,8' 1'',33.5,39.5,10.82,3.15,G,34,1075,.398,.459,.356,.774,12.6,2.5,3.8,1.1,0.4,17.4,4.2,8.0,2016,55,22
190,2016,1627752,Taurean,Prince,Taurean Prince,SF,78.5,220.2,83.5,102.0,8' 6'',34.0,36.0,10.96,3.24,F,34,1040,.432,.469,.361,.774,15.9,6.1,2.3,1.3,0.7,20.8,3.8,6.6,2016,12,22
191,2016,1627781,Malachi,Richardson,Malachi Richardson,SG-SF,76.75,199.6,84.0,101.5,8' 5.5'',33.0,38.0,10.56,3.33,G,37,1272,.369,.388,.353,.720,13.4,4.3,2.1,1.1,0.3,13.8,3.3,3.5,2016,22,20
192,2016,1627783,Pascal,Siakam,Pascal Siakam,PF,80.25,226.6,87.25,107.5,8' 11.5'',30.5,36.5,11.25,3.41,F,34,1176,.539,.549,.200,.678,20.3,11.6,1.7,1.0,2.2,31.6,7.8,8.2,2016,27,22
193,2016,1627754,Diamond,Stone,Diamond Stone,C,81.0,254.4,86.75,108.5,9' 0.5'',27.0,29.5,12.02,3.5,C,35,807,.568,.568,0,.761,12.5,5.4,0.4,0.5,1.6,26.7,4.1,5.8,2016,40,19
194,2016,1627755,Tyler,Ulis,Tyler Ulis,PG,68.75,149.2,74.0,88.5,7' 4.5'',32.5,38.0,10.8,3.2,G,35,1288,.434,.486,.344,.856,17.3,3.0,7.0,1.5,0.1,24.0,7.1,10.3,2016,34,20
195,2016,1627756,Denzel,Valentine,Denzel Valentine,SG-SF,76.0,210.4,82.75,102.0,8' 6'',27.0,32.0,10.51,3.46,G,31,1022,.462,.481,.444,.853,19.2,7.5,7.8,1.0,0.2,29.7,7.2,15.6,2016,14,22
196,2016,1627785,Isaiah,Whitehead,Isaiah Whitehead,PG-SG,75.25,210,80.75,100.0,8' 4'',27.5,35.5,11.65,3.34,G,34,1098,.379,.390,.365,.760,18.2,3.6,5.1,1.2,1.4,20.5,4.2,8.9,2016,42,21
197,2016,1627757,Stephen,Zimmerman,Stephen Zimmerman,C,82.25,234,87.25,108.5,9' 0.5'',26.0,31.0,12.08,3.43,F,26,680,.477,.492,.294,.624,10.5,8.7,0.8,0.5,2.0,17.6,2.1,1.4,2016,41,19
198,2017,1628386,Jarrett,Allen,Jarrett Allen,C,81.0,233.6,89.25,109.5,9' 1.5'',31.5,35.5,11.82,3.21,F,33,1061,.566,.579,.000,.564,13.4,8.4,0.8,0.6,1.5,20.3,3.3,5.2,2017,22,19
199,2017,1628443,Kadeem,Allen,Kadeem Allen,PG,73.0,192.4,81.25,99.5,8' 3.5'',33.0,35.5,11.24,3.15,G,34,1020,.453,.466,.427,.741,9.8,4.0,3.0,1.6,0.6,16.7,3.8,7.4,2017,53,24
200,2017,1628387,Ike,Anigbogu,Ike Anigbogu,C,80.5,252.2,90.25,110.5,9' 2.5'',29.5,32.5,12.52,3.44,F,29,377,.564,.564,0,.535,4.7,4.0,0.2,0.2,1.2,17.1,1.3,0.9,2017,47,18
201,2017,1628407,Dwayne,Bacon,Dwayne Bacon,SG-SF,76.75,221.6,82.0,103.5,8' 7.5'',30.0,36.5,11.7,3.22,G,35,1008,.452,.516,.333,.754,17.2,4.2,1.7,1.0,0.1,20.8,3.8,5.5,2017,40,21
202,2017,1628395,Jordan,Bell,Jordan Bell,PF,79.0,223.6,83.75,104.5,8' 8.5'',31.5,38.0,10.63,3.21,F,39,1124,.636,.659,.214,.701,10.9,8.8,1.8,1.3,2.3,26.4,6.2,10.8,2017,38,22
203,2017,1628395,Jordan,Bell,Jordan Bell,PF,79.0,223.6,83.75,104.5,8' 8.5'',31.5,38.0,10.63,3.21,F,26,302,.442,.524,.281,.650,4.1,3.2,0.6,0.3,0.4,14.8,0.7,-3.2,2017,38,22
204,2017,1628396,Tony,Bradley,Tony Bradley,C,81.25,248.8,89.0,112.5,9' 4.5'',24.5,27.5,11.79,3.44,F,38,553,.573,.573,0,.619,7.1,5.1,0.6,0.3,0.6,26.2,3.1,7.9,2017,28,19
205,2017,1628415,Dillon,Brooks,Dillon Brooks,SG-SF,77.0,220.2,78.0,100.5,8' 4.5'',31.0,37.5,11.14,3.21,F,35,886,.488,.532,.401,.754,16.1,3.2,2.7,1.1,0.5,25.5,4.7,9.1,2017,45,21
206,2017,1628418,Thomas,Bryant,Thomas Bryant,PF-C,81.5,247.8,90.0,112.5,9' 4.5'',25.5,33.0,11.42,3.37,C,34,954,.519,.556,.383,.730,12.6,6.6,1.5,0.8,1.5,21.6,3.8,6.2,2017,42,19
207,2017,1628381,John,Collins,John Collins,PF,80.25,225.2,83.25,106.5,8' 10.5'',33.0,37.5,11.66,3.27,F,33,878,.622,.624,.000,.745,19.2,9.8,0.5,0.6,1.6,35.9,5.6,9.9,2017,19,19
208,2017,1628977,Hamidou,Diallo,Hamidou Diallo,SG-SF,75.75,197.4,83.25,101.5,8' 5.5'',34.5,44.5,10.88,3.11,G,37,918,.428,.458,.338,.616,10.0,3.6,1.2,0.8,0.4,13.8,2.4,2.9,2018,45,19
209,2018,1628977,Hamidou,Diallo,Hamidou Diallo,SG,76.25,197,83.5,103.0,8' 7'',32.5,40.5,10.53,3.1,G,37,918,.428,.458,.338,.616,10.0,3.6,1.2,0.8,0.4,13.8,2.4,2.9,2018,45,19
210,2017,1628416,Tyler,Dorsey,Tyler Dorsey,SG,75.0,182.6,77.25,99.5,8' 3.5'',30.5,36.0,10.55,3.16,G,39,1169,.467,.513,.423,.755,14.6,3.5,1.7,0.8,0.1,19.6,5.2,6.8,2017,41,21
211,2017,1628422,Damyean,Dotson,Damyean Dotson,SG-SF,76.5,205.2,81.0,100.0,8' 4'',31.5,38.0,11.18,3.13,G,32,1098,.470,.505,.443,.830,17.4,6.9,1.1,0.9,0.2,23.9,5.9,9.4,2017,44,23
212,2017,1628393,Jawun,Evans,Jawun Evans,PG,70.75,185.2,77.5,95.0,7' 11'',27.5,33.5,11.34,3.21,G,32,936,.438,.452,.379,.812,19.2,3.4,6.4,1.8,0.1,27.3,4.8,9.2,2017,39,20
213,2017,1628385,Harry,Giles,Harry Giles,PF,81.25,232,87.25,109.5,9' 1.5'',27.0,32.5,11.08,3.34,F,26,300,.577,.577,0,.500,3.9,3.8,0.3,0.3,0.7,19.8,1.2,4.4,2017,20,19
214,2017,1628411,Wesley,Iwundu,Wesley Iwundu,SG-SF,77.5,193.4,85.0,105.5,8' 9.5'',31.5,36.0,11.25,3.36,F,35,1098,.481,.520,.376,.767,13.0,6.3,3.5,1.0,0.3,20.1,4.4,7.5,2017,33,22
215,2017,1628402,Frank,Jackson,Frank Jackson,PG,74.0,201.6,79.5,98.0,8' 2'',34.5,42.0,10.94,3.14,G,36,895,.473,.539,.395,.755,10.9,2.5,1.7,0.6,0.1,17.0,3.3,5.1,2017,31,19
216,2017,1628398,Kyle,Kuzma,Kyle Kuzma,SF-SG,80.0,222.6,84.25,107.5,8' 11.5'',27.0,34.0,10.72,3.25,F,29,894,.504,.560,.321,.669,16.4,9.3,2.4,0.6,0.5,25.0,4.5,6.3,2017,27,21
217,2017,1628399,Tyler,Lydon,Tyler Lydon,PF,80.25,215,84.0,107.5,8' 11.5'',29.5,33.5,11.68,3.46,F,34,1227,.473,.523,.395,.836,13.2,8.6,2.1,1.0,1.4,20.3,4.8,7.0,2017,24,21
218,2017,1628378,Donovan,Mitchell,Donovan Mitchell,SG,73.25,211.4,82.0,97.0,8' 1'',36.5,40.5,11.53,3.01,G,34,1098,.408,.463,.354,.806,15.6,4.9,2.7,2.1,0.5,21.8,5.4,11.1,2017,13,20
219,2017,1628420,Monte,Morris,Monte Morris,PG,73.25,175.2,76.0,96.5,8' 0.5'',28.0,33.5,11.0,3.19,G,35,1237,.465,.503,.378,.802,16.4,4.8,6.2,1.5,0.3,24.7,6.5,10.5,2017,51,21
220,2017,1628400,Semi,Ojeleye,Semi Ojeleye,SF-SG,77.25,241.4,81.75,102.0,8' 6'',35.0,40.5,10.58,3.16,F,35,1195,.487,.529,.424,.785,19.0,6.9,1.5,0.4,0.4,26.5,7.7,9.3,2017,37,22
221,2017,1628383,Justin,Patton,Justin Patton,C,82.0,229,87.0,111.5,9' 3.5'',26.0,30.5,11.8,3.46,C,35,885,.676,.683,.533,.517,12.9,6.2,1.2,0.9,1.4,25.2,4.3,8.4,2017,16,20
222,2017,1628397,Ivan,Rabb,Ivan Rabb,PF,80.75,219.6,85.5,109.0,9' 1'',28.5,32.5,12.68,3.35,F,31,1012,.484,.490,.400,.663,14.0,10.5,1.5,0.7,1.0,21.7,4.6,6.4,2017,35,20
223,2017,1628432,Davon,Reed,Davon Reed,SG-SF,76.5,206.2,84.0,102.0,8' 6'',28.5,36.0,11.37,3.34,G,33,1165,.433,.474,.397,.833,14.9,4.8,2.4,1.3,0.5,19.7,4.8,8.2,2017,32,22
224,2017,1628414,Sindarius,Thornwell,Sindarius Thornwell,SG-SF,75.5,211.6,82.0,103.0,8' 7'',27.0,30.5,11.48,3.36,G,31,1051,.444,.471,.392,.830,21.4,7.1,2.8,2.1,1.0,30.3,7.2,17.1,2017,48,22
225,2017,1628401,Derrick,White,Derrick White,PG,75.25,189.8,79.5,101.5,8' 5.5'',31.0,36.5,10.84,3.08,G,34,1116,.507,.569,.396,.813,18.1,4.1,4.4,1.2,1.4,27.3,5.9,12.4,2017,29,22
226,2017,1628430,Nigel,Williams-Goss,Nigel Williams-Goss,PG,73.5,190.2,79.25,99.0,8' 3'',27.5,34.5,10.42,3.19,G,38,1248,.486,.527,.368,.867,16.8,6.0,4.7,1.7,0.1,25.2,8.1,10.8,2017,55,22
227,2018,1628960,Grayson,Allen,Grayson Allen,SG,75.0,198,79.25,97.0,8' 1'',32.5,40.5,10.31,3.15,G,37,1319,.418,.503,.370,.850,15.5,3.3,4.6,1.7,0.1,18.8,5.9,8.4,2018,21,22
228,2018,1628961,Kostas,Antetokounmpo,Kostas Antetokounmpo,PF,81.0,194.8,86.25,110.0,9' 2'',29.5,35.0,12.48,3.21,F,29,438,.574,.651,.133,.516,5.2,2.9,0.4,0.2,1.1,13.7,0.7,-2.1,2018,60,20
229,2018,1628962,Udoka,Azubuike,Udoka Azubuike,C,82.0,273.8,91.0,112.5,9' 4.5'',31.0,31.5,12.97,3.12,C,31,859,.748,.748,0,.441,13.7,10.5,0.9,0.5,2.6,31.3,5.5,12.4,2020,27,21
230,2020,1628962,Udoka,Azubuike,Udoka Azubuike,C,82.0,259.5,91.25,109.0,9'1.00'',37.0,41.0,11.82,3.23,C,31,859,.748,.748,0,.441,13.7,10.5,0.9,0.5,2.6,31.3,5.5,12.4,2020,27,21
231,2018,1628966,Keita,Bates-Diop,Keita Bates-Diop,SG-SF,79.25,223.8,87.25,106.5,8' 10.5'',30.5,35.0,11.2,3.17,F,34,1125,.480,.547,.359,.794,19.8,8.7,1.6,0.9,1.6,27.5,6.1,11.1,2018,48,22
232,2018,1628973,Jalen,Brunson,Jalen Brunson,PG,73.0,198.4,76.0,96.0,8' 0'',29.0,37.0,10.59,3.15,G,40,1272,.521,.599,.408,.802,18.9,3.1,4.6,0.9,0.0,26.1,7.7,10.2,2018,33,21
233,2018,1628974,Tony,Carr,Tony Carr,PG,75.0,198.8,80.25,100.0,8' 4'',25.0,31.5,11.89,3.17,G,37,1308,.408,.395,.433,.799,19.6,4.9,5.0,0.8,0.3,22.2,6.0,8.2,2018,51,20
234,2018,1628975,Jevon,Carter,Jevon Carter,PG,72.25,196.2,76.25,95.0,7' 11'',29.0,36.5,11.04,3.18,G,37,1313,.422,.441,.393,.858,17.3,4.6,6.6,3.0,0.4,24.9,7.0,12.0,2018,32,22
235,2018,1628978,Donte,DiVincenzo,Donte DiVincenzo,SG,75.5,200.6,78.0,97.5,8' 1.5'',34.5,42.0,10.72,3.11,G,40,1170,.481,.575,.401,.710,13.4,4.8,3.5,1.1,0.2,20.9,5.5,9.0,2018,17,21
236,2018,1629035,Carsen,Edwards,Carsen Edwards,PG,70.75,195.6,78.25,94.5,7' 10.5'',28.5,34.5,11.59,3.2,G,36,1275,.394,.440,.355,.837,24.3,3.6,2.9,1.3,0.3,23.2,5.6,8.5,2019,33,21
237,2019,1629654,Carsen,Edwards,Carsen Edwards,PG,70.75,199.4,78.0,94.5,7' 10.5'',28.5,34.0,10.53,3.22,G,36,1275,.394,.440,.355,.837,24.3,3.6,2.9,1.3,0.3,23.2,5.6,8.5,2019,33,21
238,2018,1628980,Jacob,Evans,Jacob Evans,SG-SF,76.25,199.6,81.25,102.5,8' 6.5'',28.0,35.5,11.11,3.2,G,36,1107,.427,.470,.370,.754,13.0,4.7,3.1,1.3,1.0,20.5,5.9,9.9,2018,28,21
239,2018,1628981,Bruno,Fernando,Bruno Fernando,C,80.75,233.2,88.25,109.0,9' 1'',29.0,35.0,12.19,3.23,F,34,1021,.607,.618,.300,.779,13.6,10.6,2.0,0.6,1.9,27.2,5.4,10.0,2019,34,20
