,Player,Height w/o Shoes,Height w/ Shoes,Weight,Wingspan,Standing Reach,Body Fat %,Hand Length,Hand Width,Year
1,Rawle Alkins,189.87,193.68,217.4,205.1,251.46,8.90,8.50,10.00,2018
2,Grayson Allen,190.5,194.31,198.0,201.3,246.38,5.55,8.25,10.00,2018
3,Kostas Antetokounmpo,205.74,209.55,194.8,219.08,279.4,5.00,9.25,9.50,2018
4,Udoka Azubuike,208.28,214.0,273.8,231.14,285.75,7.95,9.50,10.00,2018
5,Mohamed Bamba,211.46,215.27,225.6,238.76,293.37,6.20,9.75,10.25,2018
6,Jaylen Barford,186.06,188.59,207.6,191.77,245.11,11.65,8.00,8.25,2018
7,Keita Bates-Diop,201.3,204.47,223.8,221.62,270.51,5.35,9.00,8.50,2018
8,Tyus Battle,195.58,200.03,200.2,205.74,259.08,4.00,8.50,9.25,2018
10,Miles Bridges,196.22,200.03,220.4,205.74,262.89,5.90,9.00,9.75,2018
11,Troy Brown,197.49,200.03,208.0,208.91,266.7,7.05,9.00,9.75,2018
12,Bruce Brown,191.77,195.58,194.6,205.74,250.19,3.75,8.50,8.50,2018
13,Jalen Brunson,185.42,188.59,198.4,193.04,243.84,6.70,8.25,9.25,2018
14,Tony Carr,190.5,194.31,198.8,203.84,254.0,6.50,8.50,9.75,2018
15,Wendell Carter,205.1,208.28,251.4,224.79,276.86,7.85,8.50,9.00,2018
16,Jevon Carter,183.52,186.69,196.2,193.68,241.3,4.15,9.25,8.50,2018
17,Donte DiVincenzo,191.77,194.31,200.,199.39,247.65,5.00,8.25,9.00,2018
18,Hamidou Diallo,193.68,198.12,197.0,212.09,261.62,4.45,8.75,9.00,2018
19,Trevon Duval,186.69,189.23,191.0,203.84,247.65,5.20,8.75,10.00,2018
21,Jacob Evans,193.68,196.85,199.6,206.38,260.35,6.50,9.00,9.25,2018
22,Keenan Evans,186.69,190.5,183.2,196.22,248.92,6.50,8.50,8.00,2018
23,Bruno Fernando,205.1,207.65,233.2,224.16,276.86,5.25,9.50,10.00,2018
24,Melvin Frazier,194.31,198.12,198.2,217.81,266.7,7.90,9.50,9.50,2018
25,Shai Gilgeous-Alexander,194.31,198.12,180.0,212.09,264.16,3.00,9.00,9.00,2018
26,Devonte Graham,183.52,186.69,186.4,198.75,243.84,4.80,8.50,9.50,2018
27,Isaac Haas,216.53,220.34,303.0,226.06,283.21,12.55,10.00,10.50,2018
28,Devon Hall,193.68,198.12,206.4,202.56,259.08,8.45,8.50,10.00,2018
30,Kevin Hervey,199.39,202.56,211.6,222.25,271.78,5.15,9.25,10.25,2018
31,Aaron Holiday,182.25,184.78,187.0,201.93,246.38,6.40,8.75,8.50,2018
32,Kevin Huerter,198.75,201.3,194.0,201.93,257.81,8.60,8.25,8.50,2018
33,Jaren Jackson Jr,207.65,211.46,236.0,226.69,279.4,7.20,10.00,10.00,2018
34,Justin Jackson,198.12,200.03,229.4,220.98,266.7,8.90,9.00,9.50,2018
35,Alize Johnson,201.3,203.2,216.6,204.98,261.62,8.10,8.50,9.75 ,2018
36,George King,194.94,198.12,218.6,212.09,257.81,7.25,9.00,10.25,2018
37,Kevin Knox,202.56,205.74,212.6,212.72,274.32,4.95,8.75,9.25,2018
38,Sagaba Konate,199.39,201.93,246.0,213.36,270.51,7.35,9.25,10.00,2018
40,Caleb Martin,194.94,198.12,195.8,208.28,257.81,7.00,8.50,8.75,2018
41,Yante Maten,201.3,204.47,246.2,214.63,273.05,8.10,9.25,10.00,2018
42,Brandon McCoy,212.09,214.63,250.4,218.44,280.67,8.70,9.75,9.50,2018
43,De'Anthony Melton,188.59,191.13,193.2,204.47,252.73,5.20,8.50,9.50,2018
44,Chimezie Metu,204.47,207.01,219.6,214.63,274.32,5.05,9.00,9.25,2018
45,Shake Milton,194.31,196.85,207.2,215.27,252.73,6.80,8.75,9.50,2018
46,Sviatoslav Mykhailiuk,199.39,202.56,211.6,194.94,254.0,8.45,8.25,9.50,2018
47,Malik Newman,189.23,191.13,189.2,196.85,250.19,6.25,8.50,9.50,2018
48,Josh Okogie,190.5,194.31,210.8,213.36,259.08,5.20,9.00,9.75,2018
49,Theo Pinson,195.58,200.03,211.2,210.19,262.89,7.35,9.00,9.00,2018
50,Michael Porter,207.01,210.19,211.0,214.0,275.59,6.40,8.75,9.25,2018
51,Jontay Porter,208.28,212.09,236.0,214.0,276.86,13.85,8.75,9.50,2018
52,Billy Preston,205.1,209.55,222.4,218.44,274.32,5.45,9.25,9.50,2018
53,Raymond Spalding,205.74,208.91,215.4,225.43,276.86,5.55,9.25,9.00,2018
54,Jerome Robinson,193.04,195.58,188.4,201.3,248.92,6.05,9.00,10.00,2018
55,Collin Sexton,184.15,186.69,183.0,201.3,250.19,5.60,8.25,8.50,2018
56,Landry Shamet,193.04,196.22,188.6,200.03,254.0,4.85,8.00,9.00,2018
57,Anfernee Simons,188.59,191.13,183.2,206.38,252.73,7.70,8.75,9.00,2018
58,Zhaire Smith,189.87,193.04,198.6,207.65,254.0,6.05,8.75,8.25,2018
59,Omari Spellman,203.2,206.38,253.8,218.44,273.05,13.75,9.00,9.00,2018
60,Khyri Thomas,189.23,192.41,198.8,209.55,256.54,6.40,8.75,9.25,2018
61,Gary Trent Jr,193.68,197.49,204.2,205.1,248.92,7.00,8.50,9.50,2018
62,Allonzo Trier,192.41,196.22,198.0,200.03,248.92,4.95,8.25,10.50,2018
63,Moritz Wagner,209.55,212.09,241.4,213.36,274.32,6.75,9.00,10.75,2018
64,Lonnie Walker,192.41,194.31,196.2,208.91,252.73,5.65,9.00,9.50,2018
65,PJ Washington,199.39,203.2,223.0,219.71,271.78,6.85,9.00,10.25,2018
66,Austin Wiley,203.84,208.28,249.4,226.06,281.94,5.00,9.75,10.25,2018
67,Kris Wilkes,199.39,201.93,205.0,208.91,262.89,5.15,8.75,9.25,2018
68,Kenrich Williams,198.12,201.93,200.4,201.3,262.89,5.95,8.50,9.75,2018
1,Nickeil Alexander-Walker,193.68,196.85,203.8,205.74,259.08,5.90,8.50,8.75,2019
3,Charles Bassey,205.1,208.28,239.0,222.25,278.13,8.50,9.25,9.50,2019
5,Bol Bol,215.27,219.71,208.0,231.14,293.37,7.10,9.25,9.50,2019
6,Jordan Bone,186.69,189.87,179.0,191.13,241.3,5.00,7.50,9.25,2019
8,Ky Bowman,185.42,188.59,181.2,200.66,248.92,4.90,8.25,9.00,2019
9,Ignas Brazdeikis,197.49,201.3,220.8,206.38,259.08,6.00,8.75,9.50,2019
10,Oshae Brissett,200.66,203.2,203.2,213.36,264.16,2.90,9.00,9.50,2019
11,Moses Brown,216.53,219.71,237.2,225.43,287.02,7.80,9.50,10.25,2019
12,Brandon Clarke,201.3,203.84,207.2,203.84,259.08,4.90,8.25,9.50,2019
13,Nicolas Claxton,208.28,212.72,216.6,219.71,279.4,4.50,9.25,9.50,2019
14,Tyler Cook,201.3,205.1,245.4,214.63,270.51,6.10,9.50,10.75,2019
15,Jarrett Culver,196.22,200.03,194.2,207.01,255.27,5.00,8.25,8.50,2019
16,Terence Davis,190.5,194.31,192.4,205.1,256.54,4.10,9.25,10.75,2019
17,Luguentz Dort,189.87,193.68,222.2,204.47,252.73,5.00,8.50,9.00,2019
18,Devon Dotson,182.88,187.96,178.6,191.13,242.57,5.90,8.25,9.50,2019
21,Bruno Fernando,205.1,208.91,237.0,221.62,279.4,5.40,9.25,10.00,2019
22,Daniel Gafford,206.38,209.55,237.6,219.08,279.4,5.90,9.25,9.25,2019
24,Quentin Grimes,193.04,196.22,209.6,202.56,255.27,8.40,8.25,10.00,2019
25,Kyle Guy,184.78,188.59,167.8,194.31,242.57,5.70,8.00,8.75,2019
27,Jared Harper,177.16,180.34,169.2,196.85,238.76,3.90,8.25,9.50,2019
28,Jaxson Hayes,208.91,212.09,218.6,222.25,280.67,5.00,9.25,10.50,2019
29,Dewan Hernandez,205.74,208.91,232.8,217.81,271.78,6.10,9.50,10.25,2019
30,Tyler Herro,194.31,198.12,192.4,191.13,255.27,7.10,8.00,8.75,2019
31,Jaylen Hoard,201.3,205.74,212.6,215.27,267.97,6.70,8.75,9.75,2019
32,Talen Horton-Tucker,189.23,193.04,235.4,216.53,261.62,8.40,9.50,9.75,2019
34,DaQuan Jeffries,193.04,195.58,215.6,211.46,264.16,3.90,9.50,10.25,2019
35,Ty Jerome,193.68,196.85,194.4,193.04,248.92,6.50,8.25,9.50,2019
36,Keldon Johnson,194.94,198.12,216.4,206.38,264.16,5.60,8.00,9.25,2019
37,Cameron Johnson,200.66,204.47,205.2,208.28,261.62,5.80,8.00,8.50,2019
38,Mfiondu Kabengele,205.1,208.91,256.2,220.98,278.13,5.10,9.25,10.75,2019
39,Louis King,200.03,203.2,195.2,214.0,265.43,4.80,8.00,8.50,2019
41,Dedric Lawson,200.66,204.47,233.0,219.08,273.05,8.90,9.75,9.75,2019
42,Jalen Lecque,189.23,193.68,185.2,204.47,250.19,4.00,8.75,8.50,2019
43,Nassir Little,194.31,198.12,224.2,216.53,265.43,5.90,8.75,10.00,2019
44,Terance Mann,194.94,199.39,204.6,202.56,256.54,4.00,9.50,9.25,2019
46,Charles Matthews,195.58,198.75,194.8,207.01,261.62,3.80,8.50,8.75,2019
47,Jalen McDaniels,203.84,207.65,191.6,214.0,267.97,5.70,9.00,10.00,2019
49,Zach Norvell Jr,194.31,196.85,206.4,198.12,256.54,7.50,8.50,9.50,2019
50,Jaylen Nowell,191.13,193.68,202.4,201.3,248.92,6.10,8.25,8.50,2019
51,Jordan Nwora,197.49,201.93,220.0,209.55,261.62,7.80,8.50,9.25,2019
53,KZ Okpala,201.3,207.01,209.6,217.81,270.51,4.60,9.25,9.25,2019
54,Miye Oni,193.68,197.49,205.6,210.19,255.27,4.90,9.00,10.00,2019
55,Eric Paschall,198.12,201.3,254.4,212.72,262.89,6.30,9.00,9.50,2019
56,Reggie Perry,203.2,206.38,250.8,214.63,269.24,6.70,9.00,10.00,2019
57,Shamorie Ponds,181.61,184.15,180.0,191.77,245.11,9.80,7.75,8.00,2019
58,Jordan Poole,191.77,196.85,190.8,200.03,252.73,7.50,8.25,8.50,2019
59,Jontay Porter,207.65,210.82,210.4,213.36,278.13,8.50,8.75,9.50,2019
60,Kevin Porter Jr,193.04,196.85,212.6,205.74,261.62,5.10,8.75,8.75,2019
61,Neemias Queta,210.19,214.0,225.8,224.16,283.21,6.30,9.50,11.00,2019
62,Cameron Reddish,199.39,203.2,207.8,214.63,267.97,4.70,9.00,9.00,2019
63,Naz Reid,205.1,207.01,255.8,221.62,276.86,14.00,9.50,9.25,2019
64,Isaiah Roby,201.3,204.47,214.0,215.9,269.24,3.90,9.00,10.50,2019
65,Luka Samanic,207.01,210.82,227.2,209.55,271.78,5.60,8.50,9.00,2019
66,Admiral Schofield,193.04,196.22,240.6,207.52,260.35,6.80,8.75,9.00,2019
67,Marial Shayok,194.31,196.85,196.8,214.0,262.89,4.70,8.75,9.25,2019
68,Simi Shittu,204.47,207.01,227.2,216.53,269.24,6.20,8.75,8.50,2019
70,PJ Washington,199.39,203.2,230.4,219.08,270.51,8.60,9.00,10.25,2019
71,Tremont Waters,176.53,179.71,172.4,188.59,237.49,6.60,8.00,9.75,2019
72,Quinndary Weatherspoon,190.5,193.68,206.6,205.74,254.0,6.10,8.50,9.00,2019
73,Coby White,191.77,194.94,191.4,195.58,247.65,4.30,7.75,9.00,2019
74,Kris Wilkes,198.75,202.56,208.8,210.19,261.62,4.90,8.50,9.50,2019
75,Grant Williams,197.49,201.93,240.2,207.65,265.43,5.40,9.00,10.50,2019
77,Dylan Windler,198.75,201.93,195.8,208.28,265.43,4.60,8.25,9.50,2019
